FinancialYear,Month,ReportDate,Metric_name,SiteDesc,Business_Unit,Indicator_Code,Performance,Remarks
2015/2016,Mar,01/03/2016,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT010c,656,
2015/2016,Mar,01/03/2016,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,NA,LT010c,159,
2015/2016,Mar,01/03/2016,All New Referrals Received,Others,Barnet Hospital,LT010c,4524,
2015/2016,Mar,01/03/2016,All New Referrals Received,Others,Chase Farm Hospital,LT010c,7,
2015/2016,Mar,01/03/2016,All New Referrals Received,Others,Royal Free Hospital,LT010c,1878,
2015/2016,Mar,01/03/2016,All New Referrals Received,Others,NA,LT010c,269,
2015/2016,Mar,01/03/2016,All New Referrals Received,ROYAL FREE HOSPITAL,Barnet Hospital,LT010c,5178,
2015/2016,Mar,01/03/2016,All New Referrals Received,ROYAL FREE HOSPITAL,Group Clinical Services,LT010c,10,
2015/2016,Mar,01/03/2016,All New Referrals Received,ROYAL FREE HOSPITAL,Royal Free Hospital,LT010c,12761,
2015/2016,Mar,01/03/2016,All New Referrals Received,ROYAL FREE HOSPITAL,NA,LT010c,1440,
2015/2016,May,01/05/2015,All New Referrals Received,BARNET HOSPITAL,Barnet Hospital,LT010c,5995,
2015/2016,May,01/05/2015,All New Referrals Received,BARNET HOSPITAL,Royal Free Hospital,LT010c,3325,
2015/2016,May,01/05/2015,All New Referrals Received,BARNET HOSPITAL,NA,LT010c,398,
2015/2016,May,01/05/2015,All New Referrals Received,CHASE FARM HOSPITAL,Barnet Hospital,LT010c,2807,
2015/2016,May,01/05/2015,All New Referrals Received,CHASE FARM HOSPITAL,Chase Farm Hospital,LT010c,26,
2015/2016,May,01/05/2015,All New Referrals Received,CHASE FARM HOSPITAL,Royal Free Hospital,LT010c,1451,
2015/2016,May,01/05/2015,All New Referrals Received,CHASE FARM HOSPITAL,NA,LT010c,183,
2015/2016,May,01/05/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT010c,116,
2015/2016,May,01/05/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT010c,515,
2015/2016,May,01/05/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,NA,LT010c,135,
2015/2016,May,01/05/2015,All New Referrals Received,Others,Barnet Hospital,LT010c,1689,
2015/2016,May,01/05/2015,All New Referrals Received,Others,Royal Free Hospital,LT010c,2730,
2015/2016,May,01/05/2015,All New Referrals Received,Others,NA,LT010c,312,
2015/2016,May,01/05/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Barnet Hospital,LT010c,4373,
2015/2016,May,01/05/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Royal Free Hospital,LT010c,12146,
2015/2016,May,01/05/2015,All New Referrals Received,ROYAL FREE HOSPITAL,NA,LT010c,1382,
2015/2016,Nov,01/11/2015,All New Referrals Received,BARNET HOSPITAL,Barnet Hospital,LT010c,7331,
2015/2016,Nov,01/11/2015,All New Referrals Received,BARNET HOSPITAL,Group Clinical Services,LT010c,1,
2015/2016,Nov,01/11/2015,All New Referrals Received,BARNET HOSPITAL,Royal Free Hospital,LT010c,3048,
2015/2016,Nov,01/11/2015,All New Referrals Received,BARNET HOSPITAL,NA,LT010c,43,
2015/2016,Nov,01/11/2015,All New Referrals Received,CHASE FARM HOSPITAL,Barnet Hospital,LT010c,3036,
2015/2016,Nov,01/11/2015,All New Referrals Received,CHASE FARM HOSPITAL,Chase Farm Hospital,LT010c,17,
2015/2016,Nov,01/11/2015,All New Referrals Received,CHASE FARM HOSPITAL,Royal Free Hospital,LT010c,1064,
2015/2016,Nov,01/11/2015,All New Referrals Received,CHASE FARM HOSPITAL,NA,LT010c,5,
2015/2016,Nov,01/11/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT010c,332,
2015/2016,Nov,01/11/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT010c,610,
2015/2016,Nov,01/11/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,NA,LT010c,147,
2015/2016,Nov,01/11/2015,All New Referrals Received,Others,Barnet Hospital,LT010c,2316,
2015/2016,Nov,01/11/2015,All New Referrals Received,Others,Royal Free Hospital,LT010c,1295,
2015/2016,Nov,01/11/2015,All New Referrals Received,Others,NA,LT010c,301,
2015/2016,Nov,01/11/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Barnet Hospital,LT010c,4934,
2015/2016,Nov,01/11/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Royal Free Hospital,LT010c,12704,
2015/2016,Nov,01/11/2015,All New Referrals Received,ROYAL FREE HOSPITAL,NA,LT010c,1618,
2015/2016,Oct,01/10/2015,All New Referrals Received,BARNET HOSPITAL,Barnet Hospital,LT010c,7257,
2015/2016,Oct,01/10/2015,All New Referrals Received,BARNET HOSPITAL,Royal Free Hospital,LT010c,2899,
2015/2016,Oct,01/10/2015,All New Referrals Received,BARNET HOSPITAL,NA,LT010c,117,
2015/2016,Oct,01/10/2015,All New Referrals Received,CHASE FARM HOSPITAL,Barnet Hospital,LT010c,2890,
2015/2016,Oct,01/10/2015,All New Referrals Received,CHASE FARM HOSPITAL,Chase Farm Hospital,LT010c,22,
2015/2016,Oct,01/10/2015,All New Referrals Received,CHASE FARM HOSPITAL,Royal Free Hospital,LT010c,1187,
2015/2016,Oct,01/10/2015,All New Referrals Received,CHASE FARM HOSPITAL,NA,LT010c,54,
2015/2016,Oct,01/10/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT010c,310,
2015/2016,Oct,01/10/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT010c,458,
2015/2016,Oct,01/10/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,NA,LT010c,103,
2015/2016,Oct,01/10/2015,All New Referrals Received,Others,Barnet Hospital,LT010c,2073,
2015/2016,Oct,01/10/2015,All New Referrals Received,Others,Royal Free Hospital,LT010c,1242,
2015/2016,Oct,01/10/2015,All New Referrals Received,Others,NA,LT010c,323,
2015/2016,Oct,01/10/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Barnet Hospital,LT010c,4692,
2015/2016,Oct,01/10/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Royal Free Hospital,LT010c,12990,
2015/2016,Oct,01/10/2015,All New Referrals Received,ROYAL FREE HOSPITAL,NA,LT010c,1578,
2015/2016,Sep,01/09/2015,All New Referrals Received,BARNET HOSPITAL,Barnet Hospital,LT010c,7035,
2015/2016,Sep,01/09/2015,All New Referrals Received,BARNET HOSPITAL,Royal Free Hospital,LT010c,2821,
2015/2016,Sep,01/09/2015,All New Referrals Received,BARNET HOSPITAL,NA,LT010c,343,
2015/2016,Sep,01/09/2015,All New Referrals Received,CHASE FARM HOSPITAL,Barnet Hospital,LT010c,2918,
2015/2016,Sep,01/09/2015,All New Referrals Received,CHASE FARM HOSPITAL,Chase Farm Hospital,LT010c,11,
2015/2016,Sep,01/09/2015,All New Referrals Received,CHASE FARM HOSPITAL,Royal Free Hospital,LT010c,1172,
2015/2016,Sep,01/09/2015,All New Referrals Received,CHASE FARM HOSPITAL,NA,LT010c,207,
2015/2016,Sep,01/09/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT010c,210,
2015/2016,Sep,01/09/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT010c,500,
2015/2016,Sep,01/09/2015,All New Referrals Received,EDGWARE COMMUNITY HOSPITAL,NA,LT010c,136,
2015/2016,Sep,01/09/2015,All New Referrals Received,Others,Barnet Hospital,LT010c,1752,
2015/2016,Sep,01/09/2015,All New Referrals Received,Others,Royal Free Hospital,LT010c,1270,
2015/2016,Sep,01/09/2015,All New Referrals Received,Others,NA,LT010c,354,
2015/2016,Sep,01/09/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Barnet Hospital,LT010c,5122,
2015/2016,Sep,01/09/2015,All New Referrals Received,ROYAL FREE HOSPITAL,Royal Free Hospital,LT010c,12428,
2015/2016,Sep,01/09/2015,All New Referrals Received,ROYAL FREE HOSPITAL,NA,LT010c,1512,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.365144455,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.605279312,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,1,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.632262253,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.444382955,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,NA,LT011,1,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.489361702,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,2.615929204,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,0,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.587284483,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,1.980627306,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,Others,NA,LT011,1.84962406,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.696527962,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Group Clinical Services,LT011,2,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.815636201,
2015/2016,Apr,01/04/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.15085639,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.435382685,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.479277033,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,10,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.769773487,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0.181818182,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.5,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.733333333,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.569306931,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,11,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.466898955,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,Others,Chase Farm Hospital,LT011,0,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.291627469,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,Others,NA,LT011,2.55952381,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.66260968,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.704605188,
2015/2016,Aug,01/08/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.411164057,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.442464577,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.352719907,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,2.403225806,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.707163959,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.466928618,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,NA,LT011,3.866666667,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.365079365,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,2.759493671,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,3.75,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.593556382,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.461211477,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,Others,NA,LT011,2.419354839,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.60624033,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.461867427,
2015/2016,Dec,01/12/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.394990366,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.498446883,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.497808219,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,3.568181818,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.688034188,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0.136363636,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.497848801,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,NA,LT011,2.59375,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.5,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.488659794,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,1.333333333,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.191489362,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.207692308,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,Others,NA,LT011,2.881889764,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.649079144,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Central,LT011,0,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Group Clinical Services,LT011,2,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.464060885,
2015/2016,Feb,01/02/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.388604353,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.483153078,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.541643059,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,2.527272727,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.670592084,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0.08,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.583279326,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,NA,LT011,5.090909091,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.70212766,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.716157205,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,2.666666667,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.330708661,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.260747664,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,Others,NA,LT011,2.256578947,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.663446873,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Central,LT011,0,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Group Clinical Services,LT011,2,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.596546311,
2015/2016,Jan,01/01/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.343949045,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.421984005,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.421695951,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,9,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.654390935,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.448990436,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,NA,LT011,1,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.35483871,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.119349005,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,2.666666667,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.381715363,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,Others,Chase Farm Hospital,LT011,0,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.098137536,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,Others,NA,LT011,2.081081081,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.726379441,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.639693515,
2015/2016,Jul,01/07/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.418618267,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.370080111,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.547134935,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,4.5,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.609175871,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0.058823529,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.585690516,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.379310345,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.561886051,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,2.222222222,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.402239449,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.171145686,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,Others,NA,LT011,1.560693642,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.71255561,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.713265109,
2015/2016,Jun,01/06/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.330840046,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.496334012,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.333837239,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,2.265625,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.799806888,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0.333333333,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.624183007,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,NA,LT011,3.1,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.473684211,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.703933747,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,4.4,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.570321152,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.502401537,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,Others,NA,LT011,3.00877193,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.683292383,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Central,LT011,0,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Group Clinical Services,LT011,0.5,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.432286421,
2015/2016,Mar,01/03/2016,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,NA,LT011,0.391733498,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Barnet Hospital,LT011,1.369242779,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,Royal Free Hospital,LT011,1.518332348,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,BARNET HOSPITAL,NA,LT011,0,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Barnet Hospital,LT011,1.657375935,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Chase Farm Hospital,LT011,0.136363636,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Group Clinical Services,LT011,0,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,CHASE FARM HOSPITAL,Royal Free Hospital,LT011,1.359766764,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Barnet Hospital,LT011,0.509803922,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,Royal Free Hospital,LT011,3.123791103,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,EDGWARE COMMUNITY HOSPITAL,NA,LT011,0,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,Others,Barnet Hospital,LT011,1.349798387,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,Others,Royal Free Hospital,LT011,2.428571429,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,Others,NA,LT011,2.025641026,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Barnet Hospital,LT011,1.601447333,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Group Clinical Services,LT011,1,
2015/2016,May,01/05/2015,Follow Ups Per New Appointment,ROYAL FREE HOSPITAL,Royal Free Hospital,LT011,2.672701181,
